地名,センター,燃やすごみ,ペットボトル,びん,カン,プラ容器包装,粗大ゴミ,不燃ごみ,古紙
新野 藁野	Ａセンター	月 木	20180417 99999999	20180328 20180418 99999999	20180404 99999999	20180411 20180425 99999999	20180420 99999999	20180420 99999999	20180410 99999999
内原 西分 蛭地 竹ノ内	Ａセンター	月 木	20180413 99999999	20180427 99999999	20180403 99999999	20180406 20180420 99999999	20180424 99999999	20180424 99999999	20180417 99999999
大潟 新浜	Ａセンター	月 木	20180413 99999999	20180425 99999999	20180411 99999999	20180328  20180410 20180424 99999999	20180427 99999999	20180427 99999999	20180406 99999999
大野	Ａセンター	火 金	20180405 99999999	20180329 20180426 99999999	20180412 99999999	20180409 20180423 99999999	20180416 99999999	20180416 99999999	20180402 99999999
上中 西方	Ａセンター	火 金	20180412 99999999	20180328 20180425 99999999	20180402 99999999	20180404 20180418 99999999	20180411 99999999	20180411 99999999	20180409 99999999
加茂谷 持井	Ａセンター	月 木	20180424 99999999	20180427 99999999	20180406 99999999	20180403 20180417 99999999	20180410 99999999	20180410 99999999	20180420 99999999
桑野 桑野 山口	Ａセンター	月 木	20180427 99999999	20180420 99999999	20180413 99999999	20180328 20180410 20180424 99999999	20180406 99999999	20180406 99999999	20180417 99999999
新道路踏切東／西 池田 寿通 井関 おわた	Ａセンター	月 木	20180404 99999999	20180328 20180418 99999999	20180410 99999999	20180403 20180417 99999999	20180413 99999999	20180413 99999999	20180427 99999999
新町 内町 仲町 トノ町 第住町 共栄町 玉塚	Ａセンター	月 木	20180406 99999999	20180417 99999999	20180413 99999999	20180404 20180418 99999999	20180403 99999999	20180403 99999999	20180427 99999999
宝田 	Ａセンター	火 金	20180402 99999999	20180329 20180430 99999999	20180412 99999999	20180405 20180419 99999999	20180426 99999999	20180426 99999999	20180409 99999999
橘 大浦	Ａセンター	火 金	20180412 99999999	20180418 99999999	20180402 99999999	20180328 20180409 20180423 99999999	20180405 99999999	20180405 99999999	20180426 99999999
津乃峰 伊島	Ａセンター	月 木	20180410 99999999	20180328 20180425 99999999	20180411 99999999	20180406 20180420 99999999	20180424 99999999	20180424 99999999	20180413 99999999
椿 船頭ヶ谷 長谷川	Ａセンター	月 木	20180420 99999999	20180424 99999999	20180403 99999999	20180330 20180413 20180427 99999999	20180417 99999999	20180417 99999999	20180406 99999999
蒲生田	Ａセンター		20180328 20180418 99999999	20180328 20180418 99999999	20180404 99999999	20180328 20180411 20180425 99999999	20180404 99999999	20180404 99999999	
中林 北ノ脇 大浜 南林	Ａセンター	火 金	20180409 99999999	20180419 99999999	20180411 99999999	20180329 20180412 20180426 99999999	20180328 20180418 99999999	20180328 20180418 99999999	20180416 99999999
長生	Ａセンター	火 金	20180416 99999999	20180425 99999999	20180411 99999999	20180405 20180419 99999999	20180412 99999999	20180412 99999999	20180402 99999999
日開野 才見 学原	Ａセンター	火 金	20180419 99999999	20180416 99999999	20180404 99999999	20180411 20180425 99999999	20180402 99999999	20180402 99999999	20180405 99999999
福井 後戸 鵠	Ａセンター	月 木	20180420 99999999	20180424 99999999	20180403 99999999	20180330 20180413 20180427 99999999	20180417 99999999	20180417 99999999	20180406 99999999
大戸 赤崎 香 小杭 曲	Ａセンター	月 木	20180420 99999999	20180424 99999999	20180403 99999999	20180330 20180413 20180427 99999999	20180417 99999999	20180417 99999999	
畭 福村 豊益 向原 黒津地 出来町 原ケ崎	Ａセンター	月 木	20180403 99999999	20180417 99999999	20180410 99999999	20180404 20180418 99999999	20180427 99999999	20180427 99999999	20180424 99999999
見能林 三谷 林崎 打樋	Ａセンター	火 金	20180409 99999999	20180419 99999999	20180411 99999999	20180328 20180412 20180426 99999999	20180423 99999999	20180423 99999999	20180416 99999999
柳島 大京原	Ａセンター	火 金	20180426 99999999	20180423 99999999	20180405 99999999	20180402 20180416 99999999	20180404 99999999	20180409 99999999	20180329 20180419 99999999
横見 南中島	Ａセンター	火 金	20180426 99999999	20180423 99999999	20180405 99999999	20180402 20180416 99999999	20180409 99999999	20180409 99999999	20180329 20180419 99999999
領家 西路見 住吉 七見 辰巳団地	Ａセンター	火 金	20180423 99999999	20180416 99999999	20180404 99999999	20180411 20180425 99999999	20180419 99999999	20180419 99999999	20180405 99999999
椿泊(東・寺谷、小吹川原1・小吹川原1・谷ノ浦)	Ａセンター	月 木	20180420 99999999	20180424 99999999	20180403 99999999	20180330 20180413 20180427 99999999	20180417 99999999	20180417 99999999	
椿泊(出島・糠塚)	Ａセンター	月 木	20180420 99999999	20180424 99999999	20180403 99999999	20180411 20180425 99999999	20180328 20180418 99999999	20180328 20180418 99999999	
那賀川町(北地区)手島 八幡 日向 今津浦 敷地 豊香野 小延 黒地 色ケ島 江野島 島尻	Ａセンター	火 金	20180404 99999999	20180425 99999999	20180411 99999999	20180329 20180411 20180425 99999999	20180328 20180418 99999999	20180328 20180418 99999999	20180412 99999999
那賀川町(南地区)(大京原・南中島は除く)原 西原 古津 大京原町 三栗 赤池 工地 苅屋 芳崎 中島 北中島 上福井 みどり台	Ａセンター	火 金	20180328 20180418 99999999	20180425 99999999	20180411 99999999	20180329 20180411 20180425 99999999	20180404 99999999	20180404 99999999	20180423 99999999
羽ノ浦町(北地区)中庄 宮倉 春日野 西春日野	Ａセンター	月 木	20180411 99999999	20180328 20180418 99999999	20180404 99999999	20180328 20180404 20180418 99999999	20180330 20180425 99999999	20180330 20180425 99999999	20180403 99999999
羽ノ浦町(南地区)古庄 明見 岩脇 古毛	Ａセンター	月 木	20180425 99999999	20180328 20180418 99999999	20180404 99999999	20180328 20180404 20180418 99999999	20180411 99999999	20180411 99999999	20180413 99999999
